#    ../targets/2/AA3.dat
#    Col 1: Your TARGET_MODEL_NAME
#    Col 2: Strand number.
#    Col 3: Nutcracker Pixel#
#    Col 4: X location in world coordinates
#    Col 5: Y location in world coordinates
#    Col 6: Z location in world coordinates
#    Col 7: User string
#    Col 8: User pixel
# 
AA3   9  12   6.599  -5.718   8.007 0     3    33 f AA3
AA3   9  13   7.149  -6.194   5.097 0     3    32 f AA3
AA3   9  14   7.698  -6.671   2.187 0     3    31 f AA3
AA3   9  15   8.248  -7.147  -0.724 0     3    30 f AA3
AA3   9  16   8.798  -7.624  -3.634 0     3    29 f AA3

AA3  10   1   0.393  -0.612  40.022 0     3    45 f AA3
AA3  10   2   0.787  -1.224  37.112 0     3    46 f AA3
AA3  10   3   1.180  -1.836  34.201 0     3    47 f AA3
AA3  10   4   1.573  -2.448  31.291 0     3    48 f AA3
AA3  10   5   1.967  -3.061  28.380 0     3    49 f AA3
AA3  10   6   2.360  -3.673  25.470 0     3    50 f AA3
AA3  10   7   2.754  -4.285  22.560 0     4     1 f AA3
AA3  10   8   3.147  -4.897  19.649 0     4     2 f AA3
AA3  10   9   3.540  -5.509  16.739 0     4     3 f AA3
AA3  10  10   3.934  -6.121  13.828 0     4     4 f AA3
AA3  10  11   4.327  -6.733  10.918 0     4     5 f AA3
AA3  10  12   4.720  -7.345   8.007 0     4     6 f AA3
AA3  10  13   5.114  -7.957   5.097 0     4     7 f AA3
AA3  10  14   5.507  -8.569   2.187 0     4     8 f AA3
AA3  10  15   5.901  -9.182  -0.724 0     4     9 f AA3
AA3  10  16   6.294  -9.794  -3.634 0     4    10 f AA3

AA3  11   1   0.205  -0.698  40.022 0     4    11 f AA3
AA3  11   2   0.410  -1.396  37.112 0     4    12 f AA3
AA3  11   3   0.615  -2.094  34.201 0     4    13 f AA3
AA3  11   4   0.820  -2.793  31.291 0     4    14 f AA3
AA3  11   5   1.025  -3.491  28.380 0     4    15 f AA3
AA3  11   6   1.230  -4.189  25.470 0     4    16 f AA3
AA3  11   7   1.435  -4.887  22.560 0     4    17 f AA3
AA3  11   8   1.640  -5.585  19.649 0     4    18 f AA3
AA3  11   9   1.845  -6.283  16.739 0     4    19 f AA3
AA3  11  10   2.050  -6.981  13.828 0     4    20 f AA3
AA3  11  11   2.255  -7.679  10.918 0     4    21 f AA3
AA3  11  12   2.460  -8.378   8.007 0     4    22 f AA3
AA3  11  13   2.665  -9.076   5.097 0     4    23 f AA3
AA3  11  14   2.870  -9.774   2.187 0     4    24 f AA3
AA3  11  15   3.075 -10.472  -0.724 0     4    25 f AA3
AA3  11  16   3.280 -11.170  -3.634 0     4    26 f AA3

AA3  12   1   0.000  -0.728  40.022 0     4    42 f AA3
AA3  12   2   0.000  -1.455  37.112 0     4    41 f AA3
AA3  12   3   0.000  -2.183  34.201 0     4    40 f AA3
AA3  12   4   0.000  -2.910  31.291 0     4    39 f AA3
AA3  12   5   0.000  -3.638  28.380 0     4    38 f AA3
AA3  12   6   0.000  -4.366  25.470 0     4    37 f AA3
AA3  12   7   0.000  -5.093  22.560 0     4    36 f AA3
AA3  12   8   0.000  -5.821  19.649 0     4    35 f AA3
AA3  12   9   0.000  -6.548  16.739 0     4    34 f AA3
AA3  12  10   0.000  -7.276  13.828 0     4    33 f AA3
AA3  12  11   0.000  -8.004  10.918 0     4    32 f AA3
AA3  12  12   0.000  -8.731   8.007 0     4    31 f AA3
AA3  12  13   0.000  -9.459   5.097 0     4    30 f AA3
AA3  12  14   0.000 -10.186   2.187 0     4    29 f AA3
AA3  12  15   0.000 -10.914  -0.724 0     4    28 f AA3
AA3  12  16   0.000 -11.642  -3.634 0     4    27 f AA3

AA3  13   1  -0.205  -0.698  40.022 0     4    43 f AA3
AA3  13   2  -0.410  -1.396  37.112 0     4    44 f AA3
AA3  13   3  -0.615  -2.094  34.201 0     4    45 f AA3
AA3  13   4  -0.820  -2.793  31.291 0     4    46 f AA3
AA3  13   5  -1.025  -3.491  28.380 0     4    47 f AA3
AA3  13   6  -1.230  -4.189  25.470 0     4    48 f AA3
AA3  13   7  -1.435  -4.887  22.560 0     4    49 f AA3
AA3  13   8  -1.640  -5.585  19.649 0     4    50 f AA3
AA3  13   9  -1.845  -6.283  16.739 0     5     1 f AA3
AA3  13  10  -2.050  -6.981  13.828 0     5     2 f AA3
AA3  13  11  -2.255  -7.679  10.918 0     5     3 f AA3
AA3  13  12  -2.460  -8.378   8.007 0     5     4 f AA3
AA3  13  13  -2.665  -9.076   5.097 0     5     5 f AA3
AA3  13  14  -2.870  -9.774   2.187 0     5     6 f AA3
AA3  13  15  -3.075 -10.472  -0.724 0     5     7 f AA3
AA3  13  16  -3.280 -11.170  -3.634 0     5     8 f AA3

AA3  14   1  -0.393  -0.612  40.022 0     5     9 f AA3
AA3  14   2  -0.787  -1.224  37.112 0     5    10 f AA3
AA3  14   3  -1.180  -1.836  34.201 0     5    11 f AA3
AA3  14   4  -1.573  -2.448  31.291 0     5    12 f AA3
AA3  14   5  -1.967  -3.061  28.380 0     5    13 f AA3
AA3  14   6  -2.360  -3.673  25.470 0     5    14 f AA3
AA3  14   7  -2.754  -4.285  22.560 0     5    15 f AA3
AA3  14   8  -3.147  -4.897  19.649 0     5    16 f AA3
AA3  14   9  -3.540  -5.509  16.739 0     5    17 f AA3
AA3  14  10  -3.934  -6.121  13.828 0     5    18 f AA3
AA3  14  11  -4.327  -6.733  10.918 0     5    19 f AA3
AA3  14  12  -4.720  -7.345   8.007 0     5    20 f AA3
AA3  14  13  -5.114  -7.957   5.097 0     5    21 f AA3
AA3  14  14  -5.507  -8.569   2.187 0     5    22 f AA3
AA3  14  15  -5.901  -9.182  -0.724 0     5    23 f AA3
AA3  14  16  -6.294  -9.794  -3.634 0     5    24 f AA3

AA3  15   1  -0.550  -0.476  40.022 0     5    40 f AA3
AA3  15   2  -1.100  -0.953  37.112 0     5    39 f AA3
